Gene Name	Left-End-Position	Right-End-Position	Product
nrdB	2347384	2348514	ribonucleoside-diphosphate reductase 1 subunit &beta;
bepA	2616094	2617557	&beta;-barrel assembly-enhancing protease
bcsB	3690268	3692607	cellulose synthase periplasmic subunit
yqhI	3147597	3147740	protein YqhI
betI	328747	329334	DNA-binding transcriptional repressor BetI
kdsA	1268165	1269019	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase
trmH	3824515	3825204	tRNA (Gm18) 2'-O-methyltransferase
codB	354922	356181	cytosine transporter
hofC	114522	115724	inner membrane protein HofC
tyrS	1715948	1717222	tyrosine&mdash;tRNA ligase
lsrG	1606999	1607289	(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
rplT	1799393	1799749	50S ribosomal subunit protein L20
melA	4341911	4343266	&alpha;-galactosidase
yhfS	3504935	3506020	putative aminotransferase YhfS
tatB	4022218	4022733	twin arginine protein translocation system - TatB protein
yjbF	4236262	4236900	lipoprotein YjbF
dgcZ	1622960	1623850	diguanylate cyclase DgcZ
fadL	2461306	2462646	long-chain fatty acid outer membrane channel / bacteriophage T2 receptor
hemH	498055	499017	ferrochelatase
cpdB	4434622	4436565	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
ynfB	1655808	1656149	DUF1283 domain-containing protein YnfB
mreC	3398875	3399978	cell shape determining protein MreC
ftsX	3601028	3602086	cell division protein FtsX
yjhI	4525015	4525803	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhI
tdcF	3259721	3260110	putative enamine/imine deaminase
rsmC	4606669	4607700	16S rRNA m<sup>2</sup>G1207 methyltransferase
putP	1079305	1080813	proline:Na<sup>+</sup> symporter
yniA	1807796	1808656	putative kinase YniA
pgaB	1087839	1089857	poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine <i>N</i>-deacetylase and &beta;-1,6 glycoside hydrolase
ydiP	1778390	1779301	putative DNA-binding transcriptional regulator YdiP
yhaH	3252304	3252669	putative inner membrane protein
bssR	878248	878631	regulator of biofilm formation
malF	4243531	4245075	maltose ABC transporter membrane subunit MalF
istR	3853118	3853257	small regulatory RNA IstR-1 // small RNA IstR-2
lpxC	106557	107474	UDP-3-O-acyl-N-acetylglucosamine deacetylase
rlmJ	3645385	3646227	23S rRNA m<sup>6</sup>A2030 methyltransferase
yibA	3766337	3767179	putative lyase containing HEAT-repeat
metT	697057	697133	tRNA-Met(CAU)
cusF	597131	597463	copper/silver export system periplasmic binding protein
cdgI	1870385	1871860	putative c-di-GMP binding protein CdgI
b1903	1987444	1987782	
yecD	1950832	1951398	isochorismatase family protein YecD
prpE	352706	354592	propionyl-CoA synthetase
hemB	388753	389727	porphobilinogen synthase
rihC	27293	28207	ribonucleoside hydrolase RihC
hslU	4120416	4121747	ATPase component of the HslVU protease
ymdG	1079120	1079146	protein YmdG
gntK	3577065	3577592	D-gluconate kinase, thermostable
yeeY	2087329	2088258	putative DNA-binding transcriptional regulator YeeY
trmJ	2662583	2663323	tRNA Cm32/Um32 methyltransferase
xanQ	3024351	3025751	xanthine:H+ symporter XanQ
waaY	3800267	3800965	lipopolysaccharide core heptose (II) kinase
yedA	2029539	2030459	putative transporter YedA
gltX	2519257	2520672	glutamate&mdash;tRNA ligase
bssS	1120701	1120955	regulator of biofilm formation
rapZ	3347115	3347969	RNase adaptor protein RapZ
tktB	2579636	2581639	transketolase 2
yqjE	3249683	3250087	inner membrane protein YqjE
cheZ	1966393	1967037	chemotaxis protein CheZ
fadI	2459159	2460469	3-ketoacyl-CoA thiolase FadI
cysG	3497828	3499201	siroheme synthase
guaC	113444	114487	GMP reductase
ybeT	678852	679406	Sel1 repeat-containing protein YbeT
zapC	1005952	1006494	cell division protein ZapC
rutR	1074242	1074880	DNA-binding transcriptional dual regulator RutR
rlmF	842332	843258	23S rRNA m<sup>6</sup>A1618 methyltransferase
yajR	445302	446666	putative transport protein YajR
insK	3721198	3722049	IS150 conserved protein InsB
iprA	394506	395129	putative DNA-binding transcriptional regulator IprA
cysZ	2531463	2532224	sulfate:H+ symporter
yddK	1544758	1545714	leucine-rich repeat domain-containing protein YddK
fucU	2938888	2939310	L-fucose mutarotase
iraM	1211680	1212003	anti-adaptor protein IraM
arnT	2370908	2372560	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase
rhaM	4093124	4093438	L-rhamnose mutarotase
ygjV	3241193	3241744	inner membrane protein
hisR	3982509	3982585	tRNA-His(GUG)
mreB	3400044	3401087	dynamic cytoskeletal protein MreB
dgcE	2143266	2146583	putative diguanylate cyclase DgcE
ygeW	3006262	3007452	putative carbamoyltransferase YgeW
fadH	3231665	3233683	2,4-dienoyl-CoA reductase
yicL	3838248	3839171	putative transporter YicL
apaH	50380	51222	diadenosine tetraphosphatase
pepP	3053515	3054840	Xaa-Pro aminopeptidase
ykgR	313141	313242	uncharacterized membrane protein YkgR
aidB	4414275	4415900	putative acyl-CoA dehydrogenase AidB
rsmB	3435207	3436496	16S rRNA m<sup>5</sup>C967 methyltransferase
cyuP	3256679	3258010	cysteine detoxification protein CyuP
waaS	3804181	3805116	lipopolysaccharide core biosynthesis protein WaaS
yqiK	3192864	3194525	flotillin family inner membrane protein YqiK
serS	939428	940720	serine&mdash;tRNA ligase
viaA	3928152	3929603	protein ViaA
frvA	4092377	4092823	putative PTS enzyme IIA component FrvA
ybgC	774752	775156	esterase/thioesterase
tatE	658947	659150	twin arginine protein translocation system - TatE protein
cheR	1968504	1969364	chemotaxis protein methyltransferase
atoB	2326109	2327293	acetyl-CoA acetyltransferase
hemL	173602	174882	glutamate-1-semialdehyde 2,1-aminomutase
rihA	683477	684412	pyrimidine-specific ribonucleoside hydrolase RihA
ybiJ	837665	837925	DUF1471 domain-containing protein YbiJ
nrdR	433002	433451	NrdR transcriptional repressor
murF	94650	96008	D-alanyl-D-alanine-adding enzyme
mnmA	1192667	1193773	tRNA-specific 2-thiouridylase
adiC	4335694	4337031	arginine:agmatine antiporter
sgcX	4530530	4531651	KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain
yjdC	4362733	4363308	putative DNA-binding transcriptional regulator YjdC
arnF	2372892	2373278	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit
ycgY	1245160	1245600	uncharacterized protein YcgY
arnB	2365910	2367067	UDP-4-amino-4-deoxy-L-arabinose aminotransferase
csrB	2924156	2924524	small regulatory RNA CsrB
chbR	1818605	1819447	ChbR
ulaG	4418561	4419625	L-ascorbate-6-phosphate lactonase
yqeH	2987536	2988168	putative LuxR family transcriptional regulator YqeH
aspU	228928	229004	tRNA-Asp(GUC)
actS	2999136	2999891	amidase activator
b0100	111564	111698	
yajG	453589	454167	putative lipoprotein YajG
atoC	2321866	2323251	DNA-binding transcriptional activator AtoC-phosphorylated // DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC
hemC	3989825	3990766	hydroxymethylbilane synthase
gpt	255977	256435	xanthine-guanine phsophoribosyltransferase
ypdE	2504510	2505547	aminopeptidase YpdE
ymgJ	1223264	1223449	uncharacterized protein YmgJ
lipA	659251	660216	lipoyl synthase
decR	468383	468841	DNA-binding transcriptional activator DecR
ybiR	853647	854765	putative transporter YbiR
ampG	452070	453545	muropeptide:H<sup>+</sup> symporter
waaG	3805943	3807067	lipopolysaccharide glucosyltransferase I
ydgC	1681695	1682030	GlpM family protein
aspS	1948750	1950522	aspartate&mdash;tRNA ligase
dcm	2030899	2032317	DNA-cytosine methyltransferase
yicC	3816676	3817539	putative RNase adaptor protein YicC
treC	4463054	4464709	trehalose-6-phosphate hydrolase
aceF	125695	127587	AceF-dihydrolipoate // AceF-S-acetyldihydrolipoate // AceF-lipoate // pyruvate dehydrogenase, E2 subunit
yjiA	4587909	4588865	P-loop guanosine triphosphatase YjiA
rzoR	1423400	1423585	Rac prophage; putative prophage outer membrane lipoprotein RzoR
fadR	1234938	1235657	DNA-binding transcriptional dual regulator FadR
yehH	2197410	2200269	
add	1702233	1703234	adenosine deaminase
ygdD	2941236	2941631	DUF423 domain-containing inner membrane protein YgdD
ftsI	91413	93179	peptidoglycan DD-transpeptidase FtsI
gadW	3663890	3664618	DNA-binding transcriptional dual regulator GadW
mdtP	4299564	4301030	putative multidrug efflux pump outer membrane channel
yccS	1021730	1023883	putative transporter YccS
insC3	2069815	2070180	CP4-44 prophage; IS2 insertion element repressor InsA
higA	3233728	3234144	antitoxin/DNA-binding transcriptional repressor HigA
ccmB	2296362	2297024	cytochrome <i>c</i> maturation protein B
ogt	1399721	1400236	methylated-DNA&mdash;[protein]-cysteine <i>S</i>-methyltransferase
araC	70387	71265	AraC
mzrA	3248439	3248822	modulator protein MzrA
lpxK	968366	969352	tetraacyldisaccharide 4'-kinase
hofM	3521972	3522751	DNA utilization protein HofM
yphB	2673816	2674688	putative aldose 1-epimerase YphB
argQ	2817784	2817860	tRNA-Arg(ACG)
yqcG	2905557	2905697	cell envelope stress response protein YqcG
yfjW	2773318	2775021	CP4-57 prophage; uncharacterized protein YfjW
ypjC	2784529	2785011	DUF5507 domain-containing protein YpjC
mhpR	367587	368420	DNA-binding transcriptional activator MhpR
yoeA			CP4-44 prophage; TonB-dependent receptor plug domain-containing protein YoeA
nrdF	2803502	2804461	ribonucleoside-diphosphate reductase 2 subunit &beta;
pepT	1185844	1187070	peptidase T
yjiG	4559539	4560000	Gate family protein YjiG
envR	3412803	3413465	DNA-binding transcriptional repressor EnvR
hldE	3195320	3196753	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase
mdtL	3891615	3892790	efflux pump MdtL
yghQ	3131341	3132408	putative transport protein YghQ
rpe	3514382	3515059	ribulose-phosphate 3-epimerase
hsdM	4581459	4583048	type I restriction enzyme EcoKI methylase subunit
cpxQ	4106330	4106387	small regulatory RNA CpxQ
aceE	123017	125680	pyruvate dehydrogenase E1 component
yfbK	2383995	2385722	IPR002035/DUF3520 domain-containing protein YfbK
mdtF	3660414	3663527	multidrug efflux pump RND permease MdtF
yffR	2563980	2564372	CPZ-55 prophage; uncharacterized protein YffR
fadA	4027609	4028772	3-ketoacyl-CoA thiolase
yncK	1503218	1503649	
gmk	3821428	3822051	guanylate kinase
yebB	1946251	1946853	putative papain-like amidase YebB
ftsP	3161257	3162669	cell division protein FtsP
phnF	4321697	4322422	putative transcriptional regulator PhnF
kup	3931316	3933184	K<sup>+</sup>:H<sup>+</sup> symporter Kup
ygfF	3045158	3045901	putative oxidoreductase YgfF
yahM	345404	345649	uncharacterized protein YahM
yddM	1552398	1552682	DNA-binding transcriptional regulator YddM
yhhQ	3609217	3609882	queuosine precursor transporter
frlD	3503167	3503952	fructoselysine 6-kinase
hsdS	4580068	4581462	type I restriction enzyme EcoKI specificity subunit
rpsH	3446153	3446545	30S ribosomal subunit protein S8
lpxA	202560	203348	acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase
hofP	3520615	3521019	DNA utilization protein HofP
yobD	1904801	1905259	DUF986 domain-containing inner membrane protein YobD
valY	2521173	2521248	tRNA-Val(UAC)
zinT	2041375	2042025	metal-binding protein ZinT
ydfW	1647174	1647323	Qin prophage; protein YdfW
tp2	122697	122857	
yjbJ	4259237	4259446	putative stress response protein YjbJ
mhpB	370277	371221	3-carboxyethylcatechol 2,3-dioxygenase
yjhV	4509804	4510133	KpLE2 phage-like element; putative uncharacterized protein YjhV
dgt	179237	180754	dGTP triphosphohydrolase
pepA	4484440	4485951	aminopeptidase A/I
yhfU	3507348	3507701	DUF2620 domain-containing protein YhfU
lipB	661637	662278	lipoyl(octanoyl) transferase
alaS	2819381	2822011	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor
eptB	3708784	3710475	phosphoethanolamine transferase EptB
dsdX	2477847	2479184	D-serine transporter
ccmG	2292407	2292964	thiol:disulfide oxidoreductase CcmG
psuK	2258355	2259296	putative pseudouridine kinase
dam	3515077	3515913	DNA adenine methyltransferase
uof	710639	710725	RyhB-regulated <i>fur</i> leader peptide
murP	2546673	2548097	N-acetylmuramic acid-specific PTS enzyme IICB component / anhydro-N-acetylmuramic acid transporter
ydiL	1770615	1770971	DUF1870 domain-containing protein YdiL
ydfK	1633072	1633305	Qin prophage; cold shock protein YdfK
fadE	240859	243303	acyl-CoA dehydrogenase
yedN	2011223	2012351	putative type III secreted effector, N-terminal fragment
deoC	4617323	4618102	deoxyribose-phosphate aldolase
ygiZ	3171879	3172211	DUF2645 domain-containing inner membrane protein YgiZ
nanR	3373698	3374489	NanR
mrcB	164730	167264	PBP1B&gamma; // peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB
ygcS	2896533	2897870	putative transporter YgcS
yaeP	213925	214125	PF06786 family protein YaeP
insH3	687997	688977	IS<i>5</i> transposase and trans-activator
rof	213678	213932	modulator of Rho-dependent transcription termination
yjjB	4601624	4602097	putative succinate exporter YjjB
paaD	1455925	1456422	phenylacetate degradation protein
csrD	3401392	3403332	regulator of CsrB and CsrC decay
mrr	4586949	4587863	Type IV methyl-directed restriction enzyme EcoKMrr
lpxD	200971	201996	UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase
ydgJ	1703268	1704308	putative oxidoreductase YdgJ
yddH	1533282	1533851	flavin reductase-like protein YddH
serV	2818553	2818645	tRNA-Ser(GCU)
uspB	3639385	3639720	universal stress protein B
xisR	1413237	1413452	Rac prophage; excisionase
yfcH	2421708	2422601	epimerase family protein YfcH
fadK	1782977	1784677	short chain acyl-CoA synthetase
cybC	4459488	4459855	
pnuC	783166	783885	nicotinamide riboside transporter
emtA	1243180	1243791	lytic murein transglycosylase E
yecJ	1987507	1987758	DUF2766 domain-containing protein YecJ
yneJ	1614804	1615685	putative DNA-binding transcriptional regulator YneJ
kdsB	970852	971598	3-deoxy-<i>manno</i>-octulosonate cytidylyltransferase
nimT	1875673	1876854	2-nitroimidazole exporter
secF	429505	430476	Sec translocon accessory complex subunit SecF
pyrF	1341921	1342658	orotidine-5'-phosphate decarboxylase
proQ	1914836	1915534	RNA chaperone ProQ
cspD	922366	922590	DNA replication inhibitor CspD
uhpB	3848634	3850136	sensory histidine kinase UhpB - phosphorylated // sensory histidine kinase UhpB
ychQ	1266924	1267316	SirB family protein YchQ
ymfE	1197533	1198237	e14 prophage; uncharacterized protein YmfE
atoD	2323447	2324109	acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;
yhcE			putative uncharacterized protein YhcE
codA	356171	357454	cytosine/isoguanine deaminase
yebY	1923365	1923706	DUF2511 domain-containing protein YebY
dnaK	12163	14079	chaperone protein DnaK
ykgA	316450	317136	putative DNA-binding transcriptional regulator YkgA
cvrA	1240335	1242071	putative K<sup>+</sup>:H<sup>+</sup> antiporter
yhjJ	3680444	3681940	peptidase M16 family protein YhjJ
yriA	3640612	3640686	protein YriA
btsR	2212243	2212962	Phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional dual regulator BtsR
mdtA	2154016	2155263	multidrug efflux pump membrane fusion protein MdtA
arnC	2367071	2368039	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
bluF	1214264	1215475	blue light- and temperature-regulated antirepressor BluF
zur	4259488	4260003	DNA-binding transcriptional repressor Zur
yagF	283201	285168	CP4-6 prophage; D-xylonate dehydratase
yohF	2226509	2227270	putative oxidoreductase YohF
yccX	1030064	1030342	acylphosphatase
lysT	780554	780629	tRNA-Lys(UUU)
dosP	1563334	1565733	oxygen-sensing c-di-GMP phosphodiesterase DosP
ybcN	572466	572921	DLP12 prophage; DNA base-flipping protein
ygiA	3179596	3179856	
ybiB	835248	836210	nonspecific DNA-binding protein YbiB
mhpT	375459	376670	3-hydroxyphenylpropionate/3-hydroxycinnamate:H<sup>+</sup> symporter
lomR			Rac prophage; protein LomR_1
upp	2620246	2620872	uracil phosphoribosyltransferase
mltF	2695801	2697357	membrane-bound lytic murein transglycosylase F
yqiJ	3192208	3192837	DUF1449 domain-containing inner membrane protein YqiJ
lplA	4623101	4624117	lipoate&mdash;protein ligase A
gatR			DNA-binding transcriptional repressor GatR, N-terminal fragment
ygjI	3226234	3227667	putative transporter YgjI
waaZ	3799345	3800196	lipopolysaccharide core biosynthesis protein WaaZ
bamA	197928	200360	outer membrane protein assembly factor BamA
pyrC	1121561	1122607	dihydroorotase
rraA	4118845	4119330	ribonuclease E inhibitor protein A
fimB	4540957	4541559	Type 1 fimbriae regulatory protein FimB
ptsI	2534066	2535793	PTS enzyme I
ybhH	800759	801811	putative isomerase YbhH
insH1	274101	275081	CP4-6 prophage; IS<i>5</i> transposase and trans-activator
fadB	4028782	4030971	multifunctional enoyl-CoA hydratase, 3-hydroxyacyl-CoA epimerase, &Delta;<sup>3</sup>-<i>cis</i>- &Delta;<sup>2</sup>-<i>trans</i>-enoyl-CoA isomerase, L-3-hydroxyacyl-CoA dehydrogenase
yhiS			putative uncharacterized protein YhiS
mtn	178455	179153	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
ydbL	1445880	1446206	DUF1318 domain-containing protein YdbL
zapE	3378870	3379997	cell division protein ZapE
yafC	229967	230881	DNA-binding transcriptional regulator YafC
ttdT	3208024	3209487	L-tartrate:succinate antiporter
yncP	1491876	1491944	protein YncP
insAB5	1978518	1979215	InsAB' transposase
ygiV	3168749	3169231	DNA-binding transcriptional repressor YgiV
dsbD	4363345	4365042	thiol-disulfide exchange protein DsbD
kbaY	3283143	3284003	tagatose-1,6-bisphosphate aldolase 1
yfbV	2412677	2413132	PF04217 family membrane protein YfbV
gcvB	2942696	2942901	small regulatory RNA GcvB
pagP	656557	657117	Lipid A palmitoyltransferase
yhgH	3544882	3545565	DNA utilization protein YhgH
ybaV	463937	464308	helix-hairpin-helix 3 family protein
glyW	1992042	1992117	tRNA-Gly(GCC)
uspA	3640111	3640545	universal stress protein A
intA	2756159	2757400	CP4-57 prophage; integrase IntA
yodC	2028188	2028370	protein YodC
dapE	2591607	2592734	succinyl-diaminopimelate desuccinylase
ygeO	2995962	2996360	putative uncharacterized protein YgeO
ndk	2644433	2644864	nucleoside diphosphate kinase
degP	180884	182308	periplasmic serine endoprotease DegP
ychN	1273246	1273599	DsrE/F sulfur relay family protein YchN
ihfB	963828	964112	integration host factor subunit &beta;
ghxP	4278479	4279828	guanine/hypoxanthine transporter GhxP
waaP	3805153	3805950	lipopolysaccharide core heptose (I) kinase
secG	3322173	3322505	Sec translocon subunit SecG
pyrI	4470986	4471447	aspartate carbamoyltransferase, PyrI subunit
fimE	4542037	4542633	regulator for fimA
manY	1903082	1903882	mannose-specific PTS enzyme IIC component
hokE	607836	607988	protein HokE
intD	564815	565978	DLP12 prophage; putative integrase
dapA	2598882	2599760	4-hydroxy-tetrahydrodipicolinate synthase
ybcY	582152	582806	DLP12 prophage; putative SAM-dependent methyltransferase YbcY
apt	491412	491963	adenine phosphoribosyltransferase
ybdN	635349	636569	putative PAPS reductase/DUF3440 domain-containing protein YbdN
nlpI	3308040	3308924	lipoprotein NlpI
deoR	881976	882734	DNA-binding transcriptional repressor DeoR
yebC	1947411	1948151	putative transcriptional regulator YebC
emrD	3853922	3855106	multidrug efflux pump EmrD
sutR	1506172	1506708	DNA-binding transcriptional dual regulator SutR
ydeA	1617028	1618218	L-arabinose exporter
ygcW	2899488	2900273	putative deoxygluconate dehydrogenase
ynfR	1638188	1638253	Qin prophage; protein YnfR
sgbE	3750086	3750781	L-ribulose-5-phosphate 4-epimerase SgbE
lpxB	203348	204496	lipid A disaccharide synthase
hofO	3521009	3521449	DNA utilization protein HofO
ytgB	4486043	4486099	protein YtgB
asnU	2059851	2059926	tRNA-Asn(GUU)
bhsA	1169073	1169330	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA
ypjK	2770445	2770681	CP4-57 prophage; uncharacterized protein YpjK
b0701	733370	733591	
ppdC	2962441	2962764	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC
lysP	2247063	2248532	lysine:H+ symporter
yejO			adhesin-like autotransporter YejO
xapA	2524045	2524878	xanthosine phosphorylase
clpS	922913	923233	specificity factor for ClpA-ClpP chaperone-protease complex
ygeY	3008764	3009975	putative peptidase YgeY
alaC	2497057	2498295	glutamate&mdash;pyruvate aminotransferase AlaC
sgrR	75644	77299	DNA-binding transcriptional dual regulator SgrR
kdsD	3341266	3342252	D-arabinose 5-phosphate isomerase KdsD
yggU	3096383	3096673	DUF167 domain-containing protein YggU
rhtB	4008439	4009059	L-homoserine/L-homoserine lactone/L-threonine exporter
yjjP	4602088	4602858	putative succinate exporter YjjP
pyrD	1004768	1005778	dihydroorotate dehydrogenase, type 2
lacY	361926	363179	lactose permease
naRNA4	4326005	4326081	naRNA4
yffO	2562111	2562527	CPZ-55 prophage; uncharacterized protein YffO
lysR	2979021	2979956	DNA-binding transcriptional dual regulator LysR
ygaY	2808316	2809493	putative transporter YgaY, N-terminal fragment
adk	497175	497819	adenylate kinase
yhfG	3491453	3491620	DUF2559 domain-containing protein YhfG
yihA	4050133	4050765	GTP-binding protein YihA
alr	4265782	4266861	alanine racemase 1
nikR	3618588	3618989	DNA-binding transcriptional repressor NikR
rhsB	3619192	3623427	rhs element protein RhsB
xanP	3828945	3830336	xanthine:H+ symporter XanP
insB6	3583677	3584180	IS1 protein InsB
ssrS	3055983	3056165	6S RNA
yiaA	3726924	3727361	PF05360 family inner membrane protein YiaA
ykiD	408947	409030	protein YkiD
clcA	175107	176528	chloride:H<sup>+</sup> antiporter ClcA
mtlR	3775572	3776159	transcriptional repressor MtlR
eutD	2572489	2573505	phosphate acetyltransferase EutD
esrE	4019978	4020229	small RNA EsrE
alaV	225500	225575	tRNA-Ala(UGC)
iraP	401386	401646	anti-adaptor protein IraP
yfdG	2467855	2468217	CPS-53 (KpLE1) prophage; putative bactoprenol-linked glucose translocase
yniB	1808697	1809233	uncharacterized protein YniB
dapF	3994762	3995586	diaminopimelate epimerase
yaiX			putative acyltransferase, N-terminal fragment
hpt	141431	141967	hypoxanthine phosphoribosyltransferase
ptrB	1926779	1928839	oligopeptidase B
yccE	1064036	1065292	uncharacterized protein YccE
alaB			glutamate&mdash;pyruvate aminotransferase AlaB
crp	3486120	3486752	DNA-binding transcriptional dual regulator CRP
gutQ	2829813	2830778	D-arabinose 5-phosphate isomerase GutQ
ygcN	2892657	2893928	putative oxidoreductase with FAD/NAD(P)-binding domain
nhaA	17489	18655	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA
cusC	595600	596973	copper/silver export system outer membrane channel
yfbR	2408862	2409461	dCMP phosphohydrolase
fucO	2931865	2933013	L-1,2-propanediol oxidoreductase
yeiW	2265041	2265295	putative metal-chelating domain-containing protein YeiW
ydfU	1643255	1644304	Qin prophage; protein YdfU
dapB	28374	29195	4-hydroxy-tetrahydrodipicolinate reductase
yneO	1592665	1598086	AIDA-I family autotransporter YneO
dut	3813929	3814387	dUTP diphosphatase
yidH	3855960	3856307	DUF202 domain-containing inner membrane protein YidH
lnt	689343	690881	apolipoprotein <i>N</i>-acyltransferase
avtA	3739705	3740958	valine&mdash;pyruvate aminotransferase
minE	1224279	1224545	Z-ring positioning protein MinE
yciT	1343597	1344346	DNA-binding transcriptional dual regulator YciT
yfeK	2537342	2537716	DUF5329 domain-containing protein YfeK
betT	329463	331496	choline:H+ symporter
maoP	3948086	3948424	macrodomain Ori protein
yfjD	2748774	2750060	UPF0053 family inner membrane protein YfjD
yehQ	2209100	2210944	SWIM zinc finger domains-containing protein YehQ
yjeV	4392892	4392945	uncharacterized protein YjeV
yihT	4071773	4072651	6-deoxy-6-sulfofructose-1-phosphate aldolase
aqpZ	915352	916047	water channel AqpZ
hofQ	3519465	3520703	DNA utilization protein HofQ
yggM	3098558	3099565	DUF1202 domain-containing protein YggM
valV	1746435	1746511	tRNA-Val(GAC)
uspG	641439	641867	universal stress protein G
tfaR	1432411	1432986	Rac prophage; putative tail fiber assembly protein TfaR
b1367	1426055	1426288	
yddL	1545738	1546028	putative uncharacterized protein YddL
lysA	2977637	2978899	diaminopimelate decarboxylase
ilvG	3950560	3952204	acetolactate synthase II subunit IlvG
rihB	2254245	2255186	pyrimidine-specific ribonucleoside hydrolase RihB
mltD	232597	233955	membrane-bound lytic murein transglycosylase D
ybaY	475379	475951	PF09619 family lipoprotein YbaY
yqaA	2816512	2816940	DedA family protein YqaA
alaA	2407561	2408778	glutamate&mdash;pyruvate aminotransferase AlaA
gntR	3577731	3578726	DNA-binding transcriptional repressor GntR
gmhA	243543	244121	D-sedoheptulose 7-phosphate isomerase
yeeJ	2044938	2052014	inverse autotransporter adhesin
hcaT	2666707	2667846	putative 3-phenylpropionate transporter
yhaI	3252911	3253267	putative inner membrane protein
pyrL	4472399	4472533	<i>pyrBI</i> operon leader peptide
chbB	1821299	1821619	<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component
yiaL	3743743	3744210	DUF386 domain-containing protein YiaL
tfaP	1208132	1208545	e14 prophage; putative tail fiber assembly protein TfaP
dapD	185123	185947	tetrahydrodipicolinate succinylase
yfaS	2329798	2334402	putative macroglobulin family protein, N-terminal fragment
pyrG	2908029	2909666	CTP synthetase
luxS	2814218	2814733	<i>S</i>-ribosylhomocysteine lyase
yqeJ	2989304	2989786	protein YqeJ
dacA	662752	663963	D-alanyl-D-alanine carboxypeptidase DacA
marA	1619574	1619957	DNA-binding transcriptional dual regulator MarA
yeaQ	1879007	1879255	PF04226 family protein YeaQ
ydiN	1772512	1773777	putative transporter YdiN
insA5	1978940	1979215	IS1 protein InsA
ygaV	2797211	2797510	putative DNA-binding transcriptional regulator YgaV
bamD	2736146	2736883	outer membrane protein assembly factor BamD
yahH	339769	340089	putative uncharacterized protein YahH
yoaL	1901573	1901731	protein YoaL
galU	1291457	1292365	UTP&mdash;glucose-1-phosphate uridylyltransferase
glpF	4117245	4118090	glycerol facilitator
deoD	4620883	4621602	purine nucleoside phosphorylase
yejL	2284129	2284356	DUF1414 domain-containing protein YejL
selC	3836222	3836316	tRNA-Sec(UCA)
rapA	60358	63264	RNA polymerase-binding ATPase and RNAP recycling factor
tfaX	582875	583060	DLP12 prophage; protein TfaX
ychS	1286709	1286984	putative uncharacterized protein YchS
insB7	4518721	4519224	
udk	2142307	2142948	uridine/cytidine kinase
degQ	3380743	3382110	periplasmic serine endoprotease
bioP	4011076	4011975	biotin transporter
yjbL	4260321	4260575	uncharacterized protein YjbL
fur	710200	710646	DNA-binding transcriptional dual regulator Fur
gmhB	222833	223408	D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate 7-phosphatase
ydgK	1705250	1705690	DUF2569 domain-containing inner membrane protein YdgK
rutG	1068511	1069839	pyrimidine:H<sup>+</sup> symporter
ompA	1019013	1020053	outer membrane protein A
pyrE	3815127	3815768	orotate phosphoribosyltransferase
pdeH	3678420	3679187	c-di-GMP phosphodiesterase PdeH
aldA	1488232	1489671	aldehyde dehydrogenase A
yjaH	4200566	4201261	DUF1481 domain-containing protein YjaH
ybcK	568902	570428	DLP12 prophage; putative recombinase YbcK
rpnD	4568998	4569918	putative inactive recombination-promoting nuclease-like protein RpnD
deoA	4618229	4619551	thymidine phosphorylase
tamA	4442382	4444115	translocation and assembly module subunit TamA
yoaF	1877278	1877532	DUF333 domain-containing lipoprotein YoaF
amiC	2947757	2949010	<i>N</i>-acetylmuramoyl-L-alanine amidase C
birA	4173082	4174047	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA
yceM	1126806	1127729	putative oxidoreductase YceM
dgoT	3870438	3871730	D-galactonate:H<sup>+</sup> symporter
yfeN	2525127	2525891	putative outer membrane porin YfeN
comR	1168200	1168832	DNA-binding transcriptional repressor ComR
